kana	english	common	part
きぼう(する)	hope, wish, request	希望(する)	n.
きゅう	urgent, sudden; steep; sharp	急	na-adj.
すすめる	encourage, recommend	勧める	v.
ねんれい	age, years	年齢	n.
フランス	France	フランス	n.
しかた	way, method	仕方	n.
なし	without, no	なし	n.
さて	well, now	さて	conj.
つかれる	get tired	疲れる	v.
おとす	drop, lose, turn down	落とす	v.
にんき	popularity	人気	n.
よわい	weak, faint, light	弱い	i-adj.
まとめる	summarize, settle, gather	まとめる	v.
かっこう	appearance, shape, look	格好	n.
わたる	cross, go across	渡る	v.
かんじゃ	patient, case	患者	n.
かべ	wall, barrier	壁	n.
どうろ	road, way, street	道路	n.
まいる	go, come, visit (humble); be in trouble, be embarrassed	参る	v.
はんたい(する)	opposition, contrast, objection	反対(する)	n.
たにん	others, unrelated person, stranger	他人	n.
ていきょう(する)	offer	提供(する)	n.
くうき	air, atmosphere	空気	n.
きょねん	,	去年	adv.
かた	shoulder	肩	n.
しれる	come out, come to light, be discovered	知れる	v.
におい	smell, odor, scent	匂い	n.
ぎんこう	bank 銀行にお金を引き出しに行く。 — I’ll go to the bank to withdraw some money.	銀行	n.
じつげん(する)	realization, implementation	実現(する)	n.
ありがとう	thank you	ありがとう	interj.
こうにゅう(する)	buying	購入(する)	n.
じゅうとし	ten years, decade	十年	n.
みぎ	right	右	n.
ぜんたい	total, whole, entire	全体	n.
わだい	topic, subject	話題	n.
にんしき(する)	recognition, awareness	認識(する)	n.
あんしん(する)	peace of mind, relief	安心(する)	n.
ゆき	snow	雪	n.
ポイント	point	ポイント	n.
じゅう	. ten	十	num
なかま	company, fellow, mate, group	仲間	n.
かつ	besides, also, as well	かつ	conj.
ちしき	knowledge, information	知識	n.
たしょう	,	多少	adv.
みどり	green; greenery	緑	n.
かいけつ(する)	solution, settlement	解決(する)	n.
せまい	narrow, small	狭い	i-adj.
いちじかん	one hour	一時間	n.
しっぱい(する)	failure, mistake	失敗(する)	n.
いきなり	suddenly, without notice  彼女はいきなり会社をクビになった。 — She was fired without notice.	いきなり	adv.
せいこう(する)	success, achievement	成功(する)	n.
マンション	apartment, condominium, flat	マンション	n.
きょうりょく(する)	cooperation, collaboration	協力(する)	n.
おじ	uncle	伯父	n.
ときどき	sometimes, once in a while, on occasion	時々	adv.
うむ,うむ	give birth; produce	産む, 生む	v.
そつぎょう(する)	graduation	卒業(する)	n.
ふる	fall, come down	降る	v.
やさい	vegetable	野菜	n.
じぶんじしん	oneself	自分自身	n.
ほうこく(する)	report, information, account	報告(する)	n.
おちつく	settle, calm down	落ち着く	v.
けってい(する)	decision, determination	決定(する)	n.
わりあい	comparatively	割合	adv.
いどう(する)	movement	移動(する)	n.
いまだ	still, yet, so far	いまだ	adv.
ち	blood	血	n.
おうずる、おうじる	answer, respond, accept	応ずる、応じる	v.
なみだ	tear	涙	n.
ひょうじょう	expression, facial expression, look	表情	n.
ああ	like that	ああ	adv.
にげる	run away, escape	逃げる	v.
しだい	depend on; as soon as	次第	adv.
らく	comfort, ease, comfortable	楽	na-adj.
やがて	soon, before long, after all	やがて	adv.
ではありません，じゃありません	not, no	ではありません，じゃありません	cp.
かつて	once, before, ever, former	かつて	adv.
ごみ	rubbish, garbage, trash	ごみ	n.
けいさつ	police	警察	n.
あに	elder brother	兄	n.
くれる	give	くれる	v.
かわり	substitute, replacement, alternative	代わり	n.
がいこく	foreign country	外国	n.
こまかい	small, fine; trivial; sensitive	細かい	i-adj.
しずか	quiet, silent	静か	na-adj.
こし	back, lower back, waist, hip	腰	n.
かいさい(する)	holding, opening	開催(する)	n.
しゅんかん	,	瞬間	adv.
ちかづく	approach, get closer to	近付く	v.
わずか	a few, a little, a bit	わずか	na-adj.
くらい	dark; depressed	暗い	i-adj.
とどく	reach, arrive	届く	v.
まど	window	窓	n.
ストレス	stress	ストレス	n.
のばす	extend, lengthen;  postpone	伸ばす	v.
ドア	door	ドア	n.
もり	forest, woods, grove	森	n.
もくひょう	goal, objective, target	目標	n.
ほんらい	,	本来	adv.
おもい	heavy, important	重い	i-adj.
へんこう(する)	change, modification, revision	変更(する)	n.
かんしゃ(する)	gratitude, appreciation	感謝(する)	n.
うで	arm; skill, ability	腕	n.
しゅじゅつ(する)	surgery, operation	手術(する)	n.
あたりまえ	natural, usual, common, ordinary	当たり前	na-adj.
じてん	point in time, as of	時点	n.
いちひ	first (date)	一日	n.
ばか	foolish	馬鹿	na-adj.
いそがしい	busy, occupied	忙しい	i-adj.
おく	at; in; on	おく	v.
あいする	love, care	愛する	v.
それでは，それじゃ	then, well, so	それでは，それじゃ	conj.
とおい	far, distant	遠い	i-adj.
くろう(する)	hardship, difficulty, trouble	苦労(する)	n.
おさえる	press down, hold	押さえる	v.
かだい	subject; assignment, task	課題	n.
とともに	together with, with	とともに	cp.
みつかる	be found, be discovered	見つかる	v.
うそ	lie, falsehood	うそ	n.
おっしゃる	say, tell, speak (honorific)	仰る	v.
しゅちょう(する)	argument, claim	主張(する)	n.
しせつ	facility, institution, plant	施設	n.
ちぇっく(する)	,	チェック(する)	n.
いちかげつ	one month	一ヶ月	n.
ものの		ものの	p.
てんかい(する)	development	展開(する)	n.
じぎょう	business, enterprise, project	事業	n.
データ	data	データ	n.
やく	part, role, duty	役	n.
のびる	grow, stretch, extend	伸びる	v.
つうじょう	,	通常	adv.
ピアノ	piano	ピアノ	n.
こうい	action; motion; behavior	行為	n.
なやむ	be worried, be troubled, suffer	悩む	v.
だいに	second, secondary;  another	第二	n.
ぎろん(する)	argument, discussion, controversy	議論(する)	n.
きろく(する)	record, document	記録(する)	n.
あてる	hit, put, expose, guess	当てる	v.
できごと	event, affair, happening	出来事	n.
あたたかい	warm, genial	温かい	i-adj.
おかげ	thanks, virtue	おかげ	n.
あんぜん	safe	安全	na-adj.
ながめる	see, view, gaze	眺める	v.
いかに	how, in what way	いかに	adv.
せっち(する)	installation	設置(する)	n.
きわめて	very, extremely	極めて	adv.
にゅういん(する)	hospitalization, admission to hospital	入院(する)	n.
せっきょくてき	active, positive, aggressive	積極的	na-adj.
じこ	accident, incident, trouble	事故	n.
たたく	slap, hit, knock, clap	たたく	v.
としても	assuming, even if	としても	cp.
かいわ(する)	conversation	会話(する)	n.
かたがた	people	方々	n.
いる	need, want	要る	v.
とり	bird; poultry	鳥	n.
なんとか	somehow	何とか	adv.
し	city, town	市	n.
ねむる	sleep	眠る	v.
じしん	confidence	自信	n.
かたい	hard, solid, stiff	固い	i-adj.
せんご	,	戦後	adv.
ねだん	price, value, cost	値段	n.
つうじる	lead; communicate, understand	通じる	v.
うごかす	move, shift, operate	動かす	v.
トイレ	toilet, restroom, bathroom	トイレ	n.
あんな	such, like that	あんな	adn.
さける	avoid, keep away from	避ける	v.
おすすめ(する)		お勧め(する)	
やきゅう	baseball	野球	n.
あな	hole, pit	穴	n.
くりっく(する)	,	クリック(する)	n.
とらえる	catch, grasp, seize,  arrest	捕らえる	v.
さくねん	,	昨年	adv.
げんしょう(する)	decrease, reduction	減少(する)	n.
あらう	wash	洗う	v.
ひだり	left	左	n.
めずらしい	rare, unusual, unique	珍しい	i-adj.
たずねる	ask, look for	尋ねる	v.
ひとこと	one word, single word, brief comment	一言	n.
おとこのこ	boy, male child	男の子	n.
せいど	system, institution	制度	n.
かいもの(する)	shopping	買い物(する)	n.
チーム	team	チーム	n.
とうじょう(する)	entry, appearance	登場(する)	n.
きかん	period, term, interval	期間	n.
きんがく	amount of money	金額	n.
しお	salt	塩	n.
おく	inner part, back; bottom	奥	n.
きゅう	. nine	九	num
まだまだ	still, still more	まだまだ	adv.
ならう	take lessons, be taught, learn	習う	v.
ばんぐみ	show, program	番組	n.
いちじ	,	一時	adv.
ケース	case	ケース	n.
けいこう	tendency, trend, inclination	傾向	n.
ひび	every day, daily	日々	adv.
かくだい(する)	enlargement, expansion	拡大(する)	n.
レベル	level	レベル	n.
よろしく	well, properly, best regards	よろしく	adv.
ぎもん	question, problem, doubt	疑問	n.
それなり	in itself, as it is, in its way	それなり	n.
げんじょう	present condition, existing state	現状	n.
ドイツ	Germany	ドイツ	n.
とりあげる	pick up, adopt; take away	取り上げる	v.
あるじに	mainly, for the most part, chiefly	主に	adv.
おば	aunt	伯母	n.
パン	bread	パン	n.
クラス	class	クラス	n.
にく	meat, flesh, fat	肉	n.
なるべく	as ... as possible, if possible	なるべく	adv.
ゆび	finger	指	n.
たいど	attitude, manner, behavior	態度	n.
ち	earth, ground, land, place	地	n.
ぜんこく	nationwide, whole country, national	全国	n.
こたえ	answer, solution	答え	n.
せわ(する)	care	世話(する)	n.
さ	difference, gap, margin	差	n.
いっさい	,	一切	adv.
くう	eat, consume	食う	v.
ぶんしょう	sentence; writing, text	文章	n.
はいけい	background, context, setting	背景	n.
ふたん(する)	burden, load, charge	負担(する)	n.
じじょう	circumstance, situation, reason	事情	n.
メンバー	member, participant	メンバー	n.
ようやく	at last, gradually, barely  ようやく全て終わった。 — It is finally all over.	ようやく	adv.
ちほう	area, district, countryside	地方	n.
ゆたか	abundant, plentiful, rich	豊か	na-adj.
たすける	help, rescue, save	助ける	v.
つまる	be blocked, be packed, be clogged	詰まる	v.
いちこ	one, piece	一個	n.
おおさか	Osaka	大阪	n.
はたす	carry out, achieve, fulfil	果たす	v.
ささえる	support, hold, sustain	支える	v.
かかえる	hold, carry, employ	抱える	v.
おおいた	very, a lot, much	大分	adv.
おう	follow, chase, pursue	追う	v.
けんり	right, claim, entitlement	権利	n.
なに々	such and such,  this and that	何々	pron.
けいさん(する)	calculation	計算(する)	n.
いたみ	pain, ache	痛み	n.
かえす	return; repay; turn over	返す	v.
にわ	garden, yard	庭	n.
なっとく(する)	agreement	納得(する)	n.
そしき(する)	organization, structure	組織(する)	n.
のうりょく	ability, capacity, power; proficiency	能力	n.
じんこう	population	人口	n.
うすい	thin, light, weak	薄い	i-adj.
ちゅう	note, annotation, comment	注	n.
にかい	twice	二回	n.
ちりょう(する)	cure, treatment, therapy	治療(する)	n.
ひる	noon; daytime	昼	n.
をつうじて	throughout, across, through	を通じて	cp.
せっかく	with effort, take the trouble to	せっかく	adv.
あかい	red	赤い	i-adj.
ひかくてき	comparative, relative	比較的	na-adj.
さーびす(する)	service	サービス(する)	n.
なにひと	how many people	何人	n.
にもつ	baggage, parcel, burden	荷物	n.
みりょく	charm, attraction, appeal  この町の魅力は親切な人々です。 — The	魅力	n.
げんば	field, scene, spot	現場	n.
どうぐ	tool, instrument	道具	n.
とおく	far, remote	遠く	adv.
ちゅうがく	junior high school	中学	n.
むら	village	村	n.
システム	system	システム	n.
あそこ	there, over there	あそこ	pron.
じゅうとき	ten o’clock	十時	n.
いき	breath, respiration	息	n.
つたわる	spread, descend, travel	伝わる	v.
さつえい(する)	shooting	撮影(する)	n.
しどう(する)	guidance	指導(する)	n.
いかす	keep alive; make use of	生かす	v.
かんこく	Korea, South Korea, Republic of Korea	韓国	n.
じ	letter, character; handwriting	字	n.
してい(する)	appointment	指定(する)	n.
けいえい(する)	management	経営(する)	n.
あらゆる	every, all, any	あらゆる	adn.
かち	value, worth	価値	n.
みなみ	south	南	n.
せいりつ(する)	completion	成立(する)	n.
きせつ	season	季節	n.
どうにゅう(する)	introduction	導入(する)	n.
ことにする	decide to, pretend to	ことにする	aux.
いちまい	one (sheet, slice)	一枚	n.
い	disc. QUESTION  本当に大丈夫かい。 — Are you really alright?	い	p.
せんぱい	senior, elder	先輩	n.
ぜんいん	,	全員	adv.
にしても	even if, even though	にしても	cp.
よんひと	four people	四人	n.
じんぶつ	person, character	人物	n.
きょり	distance	距離	n.
とまる	stay	泊まる	v.
じゅうじつ(する)	fullness	充実(する)	n.
によると	according to	によると	cp.
こみゅにけーしょん(する)		コミュニケーション(する)	
さんぽ(する)	,	散歩(する)	n.
グループ	group, team	グループ	n.
くろい	black	黒い	i-adj.
きゅうとき	nine o’clock	九時	n.
いし	stone, rock	石	n.
エネルギー	energy, power	エネルギー	n.
あいさつ(する)	greeting	挨拶(する)	n.
あい	love, affection	愛	n.
ひかく(する)	comparison	比較(する)	n.
むすぶ	tie, connect, unite	結ぶ	v.
うつる	move, transfer, shift	移る	v.
じゅうらい	,	従来	adv.
きらい	dislike, hate	嫌い	na-adj.
ちゅうもく(する)	attention	注目(する)	n.
けいたい(する)	portable	携帯(する)	n.
やすむ	take a rest, be absent from	休む	v.
あまい	sweet; soft	甘い	i-adj.
さいこう	, na-adj best, highest	最高	n.
おとうと	younger brother	弟	n.
たまご	egg, spawn	卵	n.
ふく	clothes, dress, outfit	服	n.
あかちゃん	baby, infant	赤ちゃん	n.
はじめ	,	始め	adv.
ようきゅう(する)	,	要求(する)	n.
かみ	paper	紙	n.
いもうと	younger sister	妹	n.
がく	amount of money; frame	額	n.
まぜる	mix, shuffle	交ぜる	v.
いだく	have, hold, embrace	抱く	v.
できあがる	be completed, be finished, be ready	出来上がる	v.
しょうせつ	novel, fiction, story	小説	n.
おとずれる	visit, call on, arrive	訪れる	v.
あせ	sweat, perspiration	汗	n.
とくべつ	special, particular	特別	na-adj.
かいぜん(する)	improvement, reform	改善(する)	n.
やすみ	holiday; rest; be closed	休み	n.
さく	bloom	咲く	v.
きほん	foundation, basis, basic	基本	n.
あつい	hot, warm	暑い	i-adj.
むく	turn, face, look	向く	v.
ますます	more and more, increasingly	ますます	adv.
さいしゅうてき	final, last, ultimate	最終的	na-adj.
かんじょう	feeling, emotion	感情	n.
がまん(する)	patience, endurance, tolerance	我慢(する)	n.
うかぶ	float, rise	浮かぶ	v.
りえき	profit, benefit, gain	利益	n.
せんじつ	,	先日	adv.
うら	reverse, back; rear	裏	n.
もたらす	bring, cause,	もたらす	v.
あね	elder sister	姉	n.
とう	ask, question; charge	問う	v.
つぐ	succeed, take over	継ぐ	v.
ほっかいどう	Hokkaido	北海道	n.
こうせい(する)	constitution, structure	構成(する)	n.
はんのう(する)	reaction, response	反応(する)	n.
ナイフ	knife	ナイフ	n.
(お)じいさん	grandfather	(お)じいさん	n.
しんじゅく	Shinjuku (place name)	新宿	n.
かつよう(する)	application	活用(する)	n.
しょうじき	honesty ;  honest, truthful	正直	n.; na-adj.
くろ	black	黒	n.
スーパー	supermarket	スーパー	n.
プロ	professional, pro	プロ	n.
わたす	carry across, hand, transfer	渡す	v.
かかげる	hang out, hold up	掲げる	v.
きょうと	Kyoto	京都	n.
しゅうしょく(する)	job hunting	就職(する)	n.
りっぱ	fine, splendid, great	立派	na-adj.
ぶたい	stage, scene	舞台	n.
げんち	field, on-site, local	現地	n.
すうじ		数字	n.
ていしゅつ(する)	submission	提出(する)	n.
コンピューター、コンピュータ	computer	コンピューター、コンピュータ	n.
とうきょうと	Tokyo, Tokyo metropolitan government, Tokyo metropolitan area	東京都	n.
から	because	から	conj.
ひく	play (musical instrument)	弾く	v.
じたく	home, house	自宅	n.
はら	belly, stomach	腹	n.
よろこび	pleasure, delight	喜び	n.
しようがない,しょうがない	it can’t be helped,	しようがない, しょうがない	i-adj.
ふろ	bath  お風呂に入った。 — I took a bath.	風呂	n.
かおり	smell, scent	香り	n.
スキー	ski; skiing	スキー	n.
かまう	mind, care about	構う	v.
うけいれる	receive, accept, agree	受け入れる	v.
おかし	sweets, snack food	お菓子	n.
むりょう	free, no charge	無料	n.
つきあい	association, acquaintance	付き合い	n.
わたしとも	we	私共	pron.
ひがい	damage, harm	被害	n.
いす	chair	椅子	n.
なおす	fix, repair, mend	直す	v.
さくら	cherry tree; cherry blossom	桜	n.
かいとう(する)	answer, response, reply	回答(する)	n.
ゲーム	game	ゲーム	n.
ことはない	not have to, there is no need for	ことはない	aux.
こじんてき	private, personal, individual	個人的	na-adj.
かつやく(する)	activity, action	活躍(する)	n.
しけん(する)	exam, test, trial	試験(する)	n.
みぢか	familiar, close	身近	na-adj.
くるしい	painful, hard, difficult	苦しい	i-adj.
はずかしい	ashamed, embarrassed	恥ずかしい	i-adj.
きむ	gold, money	金	n.
ただ	just, mere, only	ただ	n.
けんさ(する)	inspection ;  inspect  その車は詳細な検査に合格した。 — The car passed a close inspectio	検査(する)	n.; v.
かわ、かわ	skin, hide, jacket	皮、革	n.
しろ	white; innocence	白	n.
たりる	be sufficient, be enough,  be worthy	足りる	v.
だいひょう(する)	representative	代表(する)	n.
ゆうがた	,	夕方	adv.
さがる	fall, drop, step back	下がる	v.
じっかん(する)	real feeling	実感(する)	n.
ゆうする	have	有する	v.
ぬく	pull, extract	抜く	v.
まわす	turn, rotate, spin	回す	v.
てき	enemy, opponent	敵	n.
がわ	side	側	n.
わかれる	divide, split, part	分かれる	v.
みつめる	stare, gaze	見つめる	v.
まつり	festival	祭り	n.
ぬける	fall out; come loose; be omitted; leave	抜ける	v.
しよう	style, specification, method	仕様	n.
さいだい	biggest, largest	最大	n.
すたーと(する)	start	スタート(する)	n.
なり	or, whether or not	なり	p.
おきなわ	Okinawa	沖縄	n.
もうける	institute, set up	設ける	v.
でもって	by, with, in	でもって	cp.
ようちえん	preschool, kindergarten	幼稚園	n.
にど	twice	二度	n.
しょり(する)	management, processing	処理(する)	n.
こんなん	difficulty	困難	n.
あくまで	only, to the last	あくまで	adv.
ぶんや	field, discipline	分野	n.
まちがう	be wrong, make a mistake	間違う	v.
しせい	posture, attitude  彼は姿勢がいい。 — He has good posture.	姿勢	n.
ショック	shock	ショック	n.
ひま	,	暇	na-adj.
つい	without thinking, unintentionally	つい	adv.
ど	soil	土	n.
かくす	hide, conceal	隠す	v.
きんちょう(する)	tension	緊張(する)	n.
それとも	or	それとも	conj.
かえり	return	帰り	n.
さんひ	third (date); three days	三日	n.
たたかう	fight	戦う	v.
たんに	just, simply	単に	adv.
せき	seat	席	n.
つる	hang; fish	つる	v.
たっする	reach	達する	v.
しょうがくせい	elementary school student, primary school pupil	小学生	n.
ついに	at last, finally	ついに	adv.
ぐあい	condition  具合が良くありません。 — I don’t feel well.	具合	n.
は	tooth	歯	n.
ベッド	bed	ベッド	n.
ぶじ	safely	無事	adv.
しんたい	body	身体	n.
なにとし	what year, how many years  何年ぐらい東京に住んでいますか。 — How many years have you been in Tokyo?	何年	n.
ほし	star	星	n.
けいたいでんわ	cell phone	携帯電話	n.
さとう	sugar	砂糖	n.
きれる	expire, run out	切れる	v.
いじ(する)	maintenance, preservation	維持(する)	n.
こうさ	height	高さ	n.
たいよう	sun	太陽	n.
かいじょう	hall; site	会場	n.
すてき	lovely, nice, wonderful  素敵な指輪ですね。 — That’s a lovely ring.	素敵	na-adj.
ゆ	hot water	湯	n.
そもそも	,	そもそも	adv.
やくそく(する)	promise, appointment	約束(する)	n.
ワイン	wine	ワイン	n.
こうこうせい	high school student	高校生	n.
イベント	event	イベント	n.
にひ	second (date); two days	二日	n.
うれる	sell	売れる	v.
すくなくとも	at least	少なくとも	adv.
べいこく	United States	米国	n.
しゅうい	surroundings	周囲	n.
うかがう	ask, inquire (humble)	伺う	v.
ひっこす	move (house)	引っ越す	v.
にじゅうとし	twenty years	二十年	n.
たまる	accumulate, build up	たまる	v.
せいしんてき	spiritual  彼は精神的な柱だ。 — He is a spiritual leader.	精神的	na-adj.
ちゅうがっこう	junior high school	中学校	n.
なかよく	friendly	仲良く	adv.
いいかた	way to say	言い方	n.
バランス	balance	バランス	n.
ごとし	five years	五年	n.
あんてい(する)	stability	安定(する)	n.
かんせい(する)	completion	完成(する)	n.
わがや	one’s house, one’s family, one’s home	我が家	n.
みかける	see	見かける	v.
ひろげる	spread, expand	広げる	v.
さんこう	reference	参考	n.
たとえ	even if	たとえ	adv.
うけとる	get, accept	受け取る	v.
つめたい	cold	冷たい	i-adj.
のぞむ	hope	望む	v.
てきよう(する)	application	適用(する)	n.
しゅうきょう	religion	宗教	n.
いちねんかん	one year	一年間	n.
はんい	extent, range	範囲	n.
せっする	adjoin, come in contact	接する	v.
もどす	put back, restore	戻す	v.
すっかり	entirely, completely	すっかり	adv.
ていか(する)	,	低下(する)	n.
せいじ	politics	政治	n.
なんら	nothing	なんら	adv.
とりくむ	tackle, deal with	取り組む	v.
よゆう	leeway 予算に余裕がある。 — I have some leeway in my budget.	余裕	n.
パリ	Paris  彼は今パリにいる。 — He is in Paris now.	パリ	n.
にて	by; in; at	にて	p. case
おくさん	wife	奥さん	n.
おくれる	be late, be delayed	遅れる	v.
たんとう(する)	charge	担当(する)	n.
こうじょう(する)	improvement, progress	向上(する)	n.
きかい	machine	機械	n.
しーでぃー	compact disk	ＣＤ	n.
よる	stop by; move to one side	寄る	v.
とし	city	都市	n.
ひよう	cost	費用	n.
うんてん(する)	driving, operation	運転(する)	n.
きじ	cloth, material; dough	生地	n.
さあ	come on, now, well	さあ	interj.
だけでなく	not only	だけでなく	cp.
よそう(する)	expectation	予想(する)	n.
いっそう	,	一層	adv.
だんな	husband  私のだんなは優しい。 — My husband is kind.	旦那	n.
へる	pass through, experience	経る	v.
そろう	become complete; be equal	揃う	v.
さげる	lower; hang	下げる	v.
さそう	invite	誘う	v.
かさねる	stack; repeat	重ねる	v.
さいよう(する)	adoption, employment	採用(する)	n.
かかく	price	価格	n.
かざる	decorate	飾る	v.
がん	cancer.	がん	n.
ど	Saturday	土	n.
しゅう	week	週	n.
ほそい	thin, narrow, slender  彼女は足が細い。 — She has slender legs.	細い	i-adj.
なおる	be repaired; be corrected;  get better	直る	v.
たんじゅん	simple	単純	na-adj.
ふぁっくす(する)	fax	ファックス(する)	n.
アルバイト	part-time job	アルバイト	n.
きた	north	北	n.
いっしょう	life	一生	n.
ファン	fan	ファン	n.
およぶ	reach	及ぶ	v.
のち	,	後	n.
ちょうし	condition, tone	調子	n.
きじゅん	standard	基準	n.
しょくぶつ	plant	植物	n.
けいやく(する)	,	契約(する)	n.
くむ	pair with; cross	組む	v.
さけぶ	shout	叫ぶ	v.
わかもの	youth	若者	n.
しゅだん	means	手段	n.
おろす	take down; unload; withdraw; fillet (fish); grate	下ろす	v.
めいじ	Meiji (period)	明治	n.
けいせい(する)	formation	形成(する)	n.
マンガ	comics, cartoon	マンガ	n.
ドラマ	TV drama, drama 日本のドラマを見た。 — I watched a	ドラマ	n.
いよいよ	finally, at last	いよいよ	adv.
こうれいもの	senior citizen	高齢者	n.
むだ	waste	無駄	n.
かみ	hair  彼女は髪が長い。 — She has long hair.	髪	n.
かんり(する)	control, management	管理(する)	n.
サッカー	football, soccer	サッカー	n.
こうじょう	factory	工場	n.
せいかく	correct, exact, accurate	正確	na-adj.
ふうふ	(married) couple	夫婦	n.
かんとく(する)	manager,	監督(する)	n.
なべ	pan, pot; hot-pot	鍋	n.
バイト	part-time job	バイト	n.
じゅうぶん	ten minutes	十分	n.
はずす	undo; take off, remove	外す	v.
なにでも	anything; nothing; everything	何でも	adv.
かいだん	stairs  彼は階段を上った。 — He went up the steps.	階段	n.
オーストラリア	Australia	オーストラリア	n.
そこで	so	そこで	conj.
オーケー	O.K.	オーケー	n.
はったつ(する)	development	発達(する)	n.
てきとう	proper, appropriate, suitable; irresponsible, whimsical	適当	na-adj.
たたかい	fight, battle	戦い	n.
はさむ	put in, sandwich between; catch in	はさむ	v.
はな	nose	鼻	n.
かい	meeting, gathering	会	n.
かずとし	several years	数年	n.
げんだい	the present age, today	現代	n.
かいふく(する)	recovery	回復(する)	n.
すみません	thank you;  I am sorry; excuse me	すみません	interj.
コーヒー	coffee	コーヒー	n.
ぬる	spread; paint	塗る	v.
ろうじん	old person, the old	老人	n.
きょうつう(する)	,	共通(する)	n.
いっしゅん	,	一瞬	n.
めんどう	troublesome	面倒	na-adj.
かいし(する)	beginning, start	開始(する)	n.
よくじつ	next day	翌日	n.
しまう	put away	しまう	v.
しょうてんまち	shopping street 近くに商店街がある。 — There is a shopping street near by. 36 | 0.80	商店街	n.
げんそく	principle	原則	n.
はんばい(する)	sale	販売(する)	n.
あきらめる	give up, quit	諦める	v.
ばめん	scene, sight	場面	n.
しょうがい	obstacle, handicap	障害	n.
やや	a little, slightly	やや	adv.
いってい(する)	,	一定(する)	n.
いかが	how	いかが	na-adj.
じょうず	good, skillful  彼女は絵が上手だ。 — She is good at drawing.	上手	na-adj.
かんれん(する)	relation, connection	関連(する)	n.
えがお	smile	笑顔	n.
まんなか	middle	真ん中	n.
ビール	beer	ビール	n.
しょうがつ	New Year	正月	n.
すら	even	すら	p.
でざいん(する)	design	デザイン(する)	n.
わざわざ	take the trouble, especially	わざわざ	adv.
あふれる	overflow, be filled with  公園は花であふれている。 — The park is filled with flowers.	あふれる	v.
は	leaf	葉	n.
たね	kind, species	種	n.
めいわく(する)	troublesome, annoying	迷惑(する)	na-adj.
つかむ	catch, grasp	つかむ	v.
しめる	tie; tighten	締める	v.
ラジオ	radio 毎晩ラジオを聞いている。 — I listen to the radio every night.	ラジオ	n.
はいる	come in, enter; join	入る	v.
じっと(する)	,	じっと(する)	adv.
うなずく	nod	うなずく	v.
えさ	feed; bait	餌	n.
せなか	back	背中	n.
りょうほう	both	両方	n.
ゆか	floor	床	n.
かこむ	surround	囲む	v.
ならべる	arrange; line up; e	並べる	v.
だまる	hold one’s tongue, become silent	黙る	v.
きり	only	きり	p.
ふうけい	scenery, landscape	風景	n.
ごとし	like, as if (Classical)  光陰矢のごとし。 — Time flies like an arrow.	ごとし	aux.
ほぞん(する)	preservation, storage	保存(する)	n.
しゃちょう	company president	社長	n.
めだつ	be conspicuous, stand out	目立つ	v.
ほご(する)	protection	保護(する)	n.
かくじつ	certain, sure	確実	na-adj.
けいざい	economy; finance	経済	n.
ひとし		等	
えんそう(する)	(musical) performance	演奏(する)	n.
ふやす	increase, add	増やす	v.
おんせん	hot spring, spa	温泉	n.
くふう(する)	device, idea	工夫(する)	n.
さわる	touch 絵に触らないでください。 — Please don’t touch the paintings.	触る	v.
きょうしつ	classroom,... school	教室	n.
とうろく(する)	registration, entry	登録(する)	n.
ながさ	length	長さ	n.
しかく	qualification; capacity	資格	n.
めいかく	clear, definite	明確	na-adj.
きさい(する)	registration entry	記載(する)	n.
はだ	skin	肌	n.
たおれる	fall (down), collapse	倒れる	v.
しょうじょう	symptom	症状	n.
ふきゅう(する)	spread, diffusion	普及(する)	n.
すると	then, if so	すると	conj.
すぐれる	be superior	優れる	v.
へんじ(する)	answer, reply	返事(する)	n.
しょくば	workplace	職場	n.
とりだす	take out, extract	取り出す	v.
ほね	bone	骨	n.
へいわ	peace	平和	n.
まちがい	mistake, error	間違い	n.
まい	INTENTION OF NEGATION	まい	aux.
けんか(する)	fight, quarrel	けんか(する)	n.
えらい	great, big	偉い	i-adj.
くださる	give (honorific)	くださる	v.
あつい	hot, heated	熱い	i-adj.
とうじつ	that day, current day	当日	n.
のこり	rest, remainder	残り	n.
しえん(する)	support, assistance	支援(する)	n.
じっこう(する)	practice	実行(する)	n.
にぎる	hold, grasp, clasp	握る	v.
であい	encounter	出会い	n.
たいじゅう	(body) weight	体重	n.
じょうし	boss	上司	n.
けつろん	conclusion	結論	n.
け	disc. QUESTION ABOUT SOMETHING	け	p.
テーブル	table	テーブル	n.
さかん	popular; active; prosperous	盛ん	na-adj.
いそぐ	hurry	急ぐ	v.
ともかく	in any case, anyway	ともかく	adv.
はんにん	criminal, culprit	犯人	n.
ねつ	fever; heat	熱	n.
はんざい	crime, offense	犯罪	n.
ひはん(する)	criticism	批判(する)	n.
しゅっぱつ(する)	departure	出発(する)	n.
あそび	play, game	遊び	n.
きょうし	teacher	教師	n.
よこはま	Yokohama	横浜	n.
のう	brain	脳	n.
レストラン	restaurant	レストラン	n.
そろそろ	soon; slowly  そろそろ行かないと。 — I have to go soo	そろそろ	adv.
にちようび	Sunday	日曜日	n.
けが(する)	injury	けが(する)	n.
きょうだい	brother; sister; sibling	兄弟	n.
がっき	musical instrument	楽器	n.
たもつ	keep, maintain	保つ	v.
じどうしゃ	car	自動車	n.
